['Rad\xe8s', 'Tunisia']
['Mekn\xe8s', 'Morocco']
['T\xe9touan', 'Morocco']
['Yaound\xe9', 'Cameroon']
['Ed\xe9a', 'Cameroon']
['Sa\xefda', 'Algeria']
['Beja\xefa', 'Algeria']
['B\xe9ja', 'Tunisia']
['Belv\xe9d\xe8re', 'Tunisia']
['Gu\xe9diawaye', 'Senegal']
['Camb\xe9r\xe8ne', 'Senegal']
['M\xe9dina', 'Senegal']
['M\xe9d\xe9a', 'Algeria']
['B\xe9char', 'Algeria']
['G\xeeza', 'Egypt']
['\xc9bolowa', 'Cameroon']
['Eb\xe8ne', 'Mauritius']
['Pereyb\xe8r\xe9', 'Mauritius']
['Sal\xe9', 'Morocco']
['Mo\xe7ambique', 'Mozambique']
['S\xe9tif', 'Algeria']
['Gharda\xefa', 'Algeria']
['El Be\xefda', 'Algeria']
['Su\xebs', 'Egypt']
['Zift\xe1', 'Egypt']
['Trois-rivi\xe8res', 'Canada']
['C\xf4te-saint-luc', 'Canada']
['Norrk\xf6ping', 'Sweden']
['Esl\xf6v', 'Sweden']
['Z\xfcrich', 'Switzerland']
['C\xf4te-saint-luc', 'Canada']
['L\xe9vis', 'Canada']
['R\xfcsselsheim', 'Germany']
['Santhi\xe0', 'Italy']
['Bogot\xe1', 'Colombia']
['Ch\xe2teauguay', 'Canada']
['Rosem\xe8re', 'Canada']
['Ch\xe2teauguay', 'Canada']
['\xcele-perrot', 'Canada']
['\xcele-perrot', 'Canada']
['Rivi\xe8re-du-loup', 'Canada']
['Trois-rivi\xe8res', 'Canada']
['Saint-l\xe9onard', 'Canada']
['Sainte-th\xe9r\xe8se', 'Canada']
['Trois-rivi\xe8res', 'Canada']
['Montr\xe9al-nord', 'Canada']
['L\xe9vis', 'Canada']
['Trois-rivi\xe8res', 'Canada']
['Jonqui\xe8re', 'Canada']
['Saint-j\xe9r\xf4me', 'Canada']
['Trois-rivi\xe8res', 'Canada']
['Jonqui\xe8re', 'Canada']
['Ch\xe2teauguay', 'Canada']
['Sainte-doroth\xe9e', 'Canada']
['Rivi\xe8re-du-loup', 'Canada']
['Saint-j\xe9r\xf4me', 'Canada']
['Trois-rivi\xe8res', 'Canada']
['L\xe9vis', 'Canada']
['\xcele-perrot', 'Canada']
['Rosem\xe8re', 'Canada']
['Ch\xe2teauguay', 'Canada']
